交易周期,上调幅度,年平均收益率,年平均标准差,无基准夏普比率,最大回撤
20,0.2,0.040116161691581435,0.041513879752886645,0.9706496380814029,-0.06467759090207098
20,0.4,0.0403649303106036,0.04203776836168941,0.9658151332997765,-0.06538553830260256
20,0.6,0.04058514511858545,0.04269872059751055,0.9547977184246217,-0.06625412539587837
20,0.8,0.040788419274866164,0.0434432206622506,0.939842691069798,-0.06731941865083574
20,1.0,0.04098066207492339,0.0442386900929152,0.9224609920767719,-0.06978799831189313
40,0.2,0.05446493900861348,0.04527087904026984,1.1825161562112443,-0.06396098945186302
40,0.4,0.05543767581411265,0.04609709445533878,1.1679202948107448,-0.06340160141974555
40,0.6,0.05619270193188719,0.04708533585034187,1.1483141536880483,-0.06299645419577773
40,0.8,0.05679160838058379,0.048158672018814956,1.1259831194705903,-0.06269726920787187
40,1.0,0.057273639001828996,0.04927302459904808,1.1023144561358977,-0.066146358524267
60,0.2,0.04679892458292059,0.04489945114482184,1.0483362886405088,-0.10214454436254532
60,0.4,0.04656337286476283,0.04569963779188689,1.0335955912100632,-0.10518976680629843
60,0.6,0.046228168917425955,0.04663555870310931,1.0146011675001503,-0.10854908095749916
60,0.8,0.04583675184154749,0.04763626451410782,0.9930622950781893,-0.11202341747339284
60,1.0,0.04541537821511472,0.04866268447775704,0.9700924626658909,-0.11550158099847427
80,0.2,0.04926582839726999,0.05132240153641926,0.9749157656284403,-0.12070808717494311
80,0.4,0.05140657135527218,0.0519643710220516,1.022197412558151,-0.12070808717494311
80,0.6,0.053091886609929126,0.05271982536708232,1.0577012901555913,-0.12070808717494311
80,0.8,0.054450618924761364,0.05353160378748096,1.0838955509097756,-0.12070808717494311
80,1.0,0.05556723778137273,0.05436810168793259,1.1027341148752272,-0.12070808717494311
100,0.2,0.0628769806044309,0.04969172238283826,1.2647369390643934,-0.06699845791801119
100,0.4,0.062149058968563174,0.0489218327062929,1.2741079333750178,-0.06685592373421516
100,0.6,0.06144439195898345,0.0485464589765063,1.27617977545678,-0.06669757963324728
100,0.8,0.06076132105434993,0.048435668914983514,1.272612239885523,-0.06653745036534271
100,1.0,0.06009918132114021,0.048506567761238996,1.2647477815905352,-0.068227907739737
120,0.2,0.06307919407247613,0.04655472847333189,1.3911106985855286,-0.06919047180221487
120,0.4,0.06338153905683534,0.048021623556670494,1.3873438504626625,-0.07287078273027858
120,0.6,0.06363084859681938,0.04947863182457662,1.379143432667387,-0.07590703101028431
120,0.8,0.06383271644862065,0.050894980517647556,1.3675635852661832,-0.0784547722796052
120,1.0,0.06399371738171097,0.05225795076621409,1.3534887174661474,-0.08219639255826966
